Order ID,Date,Product,Category,Quantity,Price,Total Sales
140,2023-05-29,Wireless Mouse,Accessories,4,30,120
141,2023-06-19,Coffee Maker,Appliances,8,90,720
142,2023-12-07,Tablet,Electronics,1,300,300
143,2023-06-19,Coffee Maker,Appliances,4,90,360
144,2023-10-17,Desk Chair,Furniture,4,120,480
145,2023-06-10,Monitor,Electronics,4,200,800
146,2023-02-27,Smartphone,Electronics,5,600,3000
147,2023-08-13,Headphones,Accessories,6,50,300
148,2023-02-21,Office Desk,Furniture,8,250,2000
149,2023-06-13,Laptop,Electronics,4,800,3200
150,2023-03-23,Wireless Mouse,Accessories,9,30,270
151,2023-09-16,Laptop,Electronics,1,800,800
152,2023-06-07,Headphones,Accessories,9,50,450
153,2023-10-29,Tablet,Electronics,6,300,1800
154,2023-12-01,Headphones,Accessories,1,50,50
155,2023-02-13,Backpack,Accessories,10,40,400
156,2023-04-13,Backpack,Accessories,5,40,200
157,2023-04-19,Coffee Maker,Appliances,7,90,630
158,2023-11-08,Wireless Mouse,Accessories,5,30,150
159,2023-08-12,Smartphone,Electronics,8,600,4800
160,2023-02-17,Desk Chair,Furniture,6,120,720
161,2023-12-13,Wireless Mouse,Accessories,1,30,30
162,2023-01-27,Smartphone,Electronics,5,600,3000
163,2023-03-30,Laptop,Electronics,8,800,6400
164,2023-09-21,Smartphone,Electronics,2,600,1200
165,2023-02-11,Monitor,Electronics,3,200,600
166,2023-06-30,Tablet,Electronics,6,300,1800
167,2023-06-29,Office Desk,Furniture,3,250,750
168,2023-04-16,Backpack,Accessories,10,40,400
169,2023-06-06,Office Desk,Furniture,10,250,2500
170,2023-12-18,Headphones,Accessories,9,50,450
171,2023-04-04,Backpack,Accessories,10,40,400
172,2023-02-06,Laptop,Electronics,6,800,4800
173,2023-04-18,Desk Chair,Furniture,7,120,840
174,2023-10-24,Coffee Maker,Appliances,6,90,540
175,2023-10-31,Backpack,Accessories,8,40,320
176,2023-03-08,Backpack,Accessories,9,40,360
177,2023-08-03,Tablet,Electronics,5,300,1500
178,2023-10-20,Wireless Mouse,Accessories,1,30,30
179,2023-08-27,Smartphone,Electronics,3,600,1800
180,2023-11-10,Wireless Mouse,Accessories,9,30,270
181,2023-11-29,Tablet,Electronics,2,300,600
182,2023-11-10,Desk Chair,Furniture,9,120,1080
183,2023-11-27,Office Desk,Furniture,7,250,1750
184,2023-07-29,Office Desk,Furniture,1,250,250
185,2023-10-12,Tablet,Electronics,8,300,2400
186,2023-10-01,Monitor,Electronics,3,200,600
187,2023-04-26,Monitor,Electronics,3,200,600
188,2023-12-10,Laptop,Electronics,2,800,1600
189,2023-02-25,Headphones,Accessories,4,50,200
190,2023-04-07,Laptop,Electronics,9,800,7200
191,2023-11-30,Office Desk,Furniture,2,250,500
192,2023-09-20,Laptop,Electronics,9,800,7200
193,2023-12-09,Headphones,Accessories,5,50,250
194,2023-09-02,Desk Chair,Furniture,5,120,600
195,2023-10-07,Office Desk,Furniture,3,250,750
196,2023-09-25,Laptop,Electronics,6,800,4800
197,2023-10-17,Headphones,Accessories,3,50,150
198,2023-10-10,Monitor,Electronics,9,200,1800
199,2023-05-29,Office Desk,Furniture,9,250,2250
200,2023-12-03,Wireless Mouse,Accessories,7,30,210
201,2023-03-06,Laptop,Electronics,4,800,3200
202,2023-02-24,Coffee Maker,Appliances,6,90,540
203,2023-03-30,Headphones,Accessories,9,50,450
204,2023-06-19,Laptop,Electronics,5,800,4000
205,2023-04-23,Desk Chair,Furniture,7,120,840
206,2023-02-23,Coffee Maker,Appliances,6,90,540
207,2023-10-10,Smartphone,Electronics,6,600,3600
208,2023-11-23,Coffee Maker,Appliances,6,90,540
209,2023-01-26,Headphones,Accessories,5,50,250
210,2023-12-25,Headphones,Accessories,6,50,300
211,2023-02-04,Office Desk,Furniture,7,250,1750
212,2023-03-11,Desk Chair,Furniture,5,120,600
213,2023-03-28,Office Desk,Furniture,8,250,2000
214,2023-07-28,Smartphone,Electronics,5,600,3000
215,2023-12-10,Headphones,Accessories,9,50,450
216,2023-07-26,Headphones,Accessories,8,50,400
217,2023-04-28,Smartphone,Electronics,6,600,3600
218,2023-07-25,Headphones,Accessories,7,50,350
219,2023-01-03,Wireless Mouse,Accessories,5,30,150
220,2023-04-01,Headphones,Accessories,10,50,500
221,2023-07-03,Desk Chair,Furniture,10,120,1200
222,2023-03-17,Coffee Maker,Appliances,5,90,450
223,2023-04-30,Headphones,Accessories,8,50,400
224,2023-08-12,Desk Chair,Furniture,8,120,960
225,2023-10-30,Monitor,Electronics,1,200,200
226,2023-11-20,Desk Chair,Furniture,4,120,480
227,2023-06-23,Desk Chair,Furniture,4,120,480
228,2023-05-24,Wireless Mouse,Accessories,3,30,90
229,2023-01-15,Coffee Maker,Appliances,4,90,360
230,2023-10-14,Headphones,Accessories,3,50,150
231,2023-04-25,Office Desk,Furniture,8,250,2000
232,2023-06-25,Coffee Maker,Appliances,2,90,180
233,2023-04-21,Smartphone,Electronics,3,600,1800
234,2023-07-23,Backpack,Accessories,3,40,120
235,2023-09-04,Coffee Maker,Appliances,1,90,90
236,2023-11-14,Wireless Mouse,Accessories,5,30,150
237,2023-08-25,Monitor,Electronics,4,200,800
238,2023-12-28,Wireless Mouse,Accessories,4,30,120
239,2023-07-18,Desk Chair,Furniture,7,120,840
240,2023-08-27,Laptop,Electronics,1,800,800
241,2023-08-31,Wireless Mouse,Accessories,10,30,300
242,2023-03-09,Backpack,Accessories,7,40,280
243,2023-04-17,Headphones,Accessories,6,50,300
244,2023-03-31,Monitor,Electronics,1,200,200
245,2023-09-24,Desk Chair,Furniture,1,120,120
246,2023-11-10,Headphones,Accessories,8,50,400
247,2023-05-12,Desk Chair,Furniture,8,120,960
248,2023-05-02,Monitor,Electronics,4,200,800
249,2023-01-18,Laptop,Electronics,8,800,6400
250,2023-01-12,Monitor,Electronics,1,200,200
251,2023-11-23,Wireless Mouse,Accessories,3,30,90
252,2023-06-03,Wireless Mouse,Accessories,4,30,120
253,2023-06-12,Desk Chair,Furniture,1,120,120
254,2023-11-14,Coffee Maker,Appliances,3,90,270
255,2023-05-08,Monitor,Electronics,4,200,800
256,2023-02-11,Monitor,Electronics,10,200,2000
257,2023-12-11,Tablet,Electronics,1,300,300
258,2023-08-01,Laptop,Electronics,6,800,4800
259,2023-07-08,Desk Chair,Furniture,9,120,1080
260,2023-09-25,Desk Chair,Furniture,1,120,120
261,2023-01-26,Coffee Maker,Appliances,1,90,90
262,2023-10-06,Tablet,Electronics,4,300,1200
263,2023-07-04,Desk Chair,Furniture,4,120,480
264,2023-08-09,Backpack,Accessories,6,40,240
265,2023-10-28,Smartphone,Electronics,7,600,4200
266,2023-01-09,Tablet,Electronics,10,300,3000
267,2023-05-06,Smartphone,Electronics,10,600,6000
268,2023-12-18,Tablet,Electronics,6,300,1800
269,2023-06-27,Office Desk,Furniture,8,250,2000
270,2023-03-30,Backpack,Accessories,3,40,120
271,2023-08-07,Monitor,Electronics,4,200,800
272,2023-12-13,Monitor,Electronics,3,200,600
273,2023-02-23,Smartphone,Electronics,6,600,3600
274,2023-11-13,Desk Chair,Furniture,6,120,720
275,2023-11-27,Monitor,Electronics,9,200,1800
276,2023-07-28,Monitor,Electronics,3,200,600
277,2023-12-09,Headphones,Accessories,3,50,150
278,2023-08-28,Monitor,Electronics,9,200,1800
279,2023-04-21,Wireless Mouse,Accessories,7,30,210
280,2023-01-28,Headphones,Accessories,1,50,50
281,2023-02-21,Wireless Mouse,Accessories,6,30,180
282,2023-05-20,Smartphone,Electronics,7,600,4200
283,2023-06-01,Desk Chair,Furniture,7,120,840
284,2023-01-02,Smartphone,Electronics,1,600,600
285,2023-09-11,Coffee Maker,Appliances,8,90,720
286,2023-09-19,Smartphone,Electronics,9,600,5400
287,2023-10-16,Office Desk,Furniture,10,250,2500
288,2023-12-19,Tablet,Electronics,7,300,2100
289,2023-11-09,Backpack,Accessories,2,40,80
290,2023-02-27,Coffee Maker,Appliances,3,90,270
291,2023-04-04,Wireless Mouse,Accessories,4,30,120
292,2023-04-12,Headphones,Accessories,7,50,350
293,2023-04-27,Coffee Maker,Appliances,7,90,630
294,2023-06-11,Backpack,Accessories,4,40,160
295,2023-11-06,Office Desk,Furniture,5,250,1250
296,2023-09-29,Backpack,Accessories,3,40,120
297,2023-08-27,Backpack,Accessories,4,40,160
298,2023-02-26,Tablet,Electronics,1,300,300
299,2023-11-12,Coffee Maker,Appliances,4,90,360
300,2023-07-31,Laptop,Electronics,3,800,2400
301,2023-11-23,Monitor,Electronics,3,200,600
302,2023-08-16,Coffee Maker,Appliances,4,90,360
303,2023-06-12,Monitor,Electronics,7,200,1400
304,2023-12-27,Coffee Maker,Appliances,5,90,450
305,2023-09-13,Monitor,Electronics,6,200,1200
306,2023-09-10,Coffee Maker,Appliances,7,90,630
307,2023-03-11,Laptop,Electronics,3,800,2400
308,2023-05-23,Wireless Mouse,Accessories,7,30,210
309,2023-11-04,Desk Chair,Furniture,6,120,720
310,2023-02-25,Headphones,Accessories,6,50,300
311,2023-06-12,Coffee Maker,Appliances,10,90,900
312,2023-01-19,Headphones,Accessories,10,50,500
313,2023-06-24,Office Desk,Furniture,5,250,1250
314,2023-01-16,Coffee Maker,Appliances,9,90,810
315,2023-02-22,Laptop,Electronics,9,800,7200
316,2023-06-23,Coffee Maker,Appliances,2,90,180
317,2023-03-25,Smartphone,Electronics,7,600,4200
318,2023-09-19,Monitor,Electronics,10,200,2000
319,2023-01-01,Headphones,Accessories,8,50,400
320,2023-07-13,Desk Chair,Furniture,1,120,120
321,2023-12-22,Wireless Mouse,Accessories,3,30,90
322,2023-07-11,Office Desk,Furniture,10,250,2500
323,2023-06-06,Desk Chair,Furniture,6,120,720
324,2023-12-10,Backpack,Accessories,9,40,360
325,2023-05-19,Headphones,Accessories,7,50,350
326,2023-09-30,Headphones,Accessories,9,50,450
327,2023-06-24,Headphones,Accessories,8,50,400
328,2023-02-04,Office Desk,Furniture,3,250,750
329,2023-03-06,Wireless Mouse,Accessories,2,30,60
330,2023-06-13,Desk Chair,Furniture,8,120,960
331,2023-04-12,Coffee Maker,Appliances,4,90,360
332,2023-12-31,Office Desk,Furniture,1,250,250
333,2023-08-10,Backpack,Accessories,4,40,160
334,2023-02-15,Coffee Maker,Appliances,2,90,180
335,2023-11-19,Monitor,Electronics,6,200,1200
336,2023-05-07,Headphones,Accessories,6,50,300
337,2023-07-01,Tablet,Electronics,8,300,2400
338,2023-10-16,Smartphone,Electronics,8,600,4800
339,2023-12-05,Coffee Maker,Appliances,6,90,540
340,2023-12-24,Smartphone,Electronics,3,600,1800
341,2023-04-27,Tablet,Electronics,10,300,3000
342,2023-12-25,Monitor,Electronics,8,200,1600
343,2023-03-19,Office Desk,Furniture,9,250,2250
344,2023-06-01,Smartphone,Electronics,1,600,600
345,2023-02-15,Coffee Maker,Appliances,8,90,720
346,2023-06-06,Wireless Mouse,Accessories,1,30,30
347,2023-12-06,Smartphone,Electronics,10,600,6000
348,2023-03-16,Office Desk,Furniture,8,250,2000
349,2023-03-16,Headphones,Accessories,1,50,50
350,2023-06-25,Smartphone,Electronics,10,600,6000
351,2023-10-23,Laptop,Electronics,9,800,7200
352,2023-04-08,Laptop,Electronics,10,800,8000
353,2023-08-01,Wireless Mouse,Accessories,5,30,150
354,2023-02-25,Smartphone,Electronics,6,600,3600
355,2023-12-01,Coffee Maker,Appliances,6,90,540
356,2023-10-10,Wireless Mouse,Accessories,3,30,90
357,2023-10-11,Monitor,Electronics,4,200,800
358,2023-10-01,Smartphone,Electronics,4,600,2400
359,2023-12-06,Wireless Mouse,Accessories,3,30,90
360,2023-01-21,Coffee Maker,Appliances,3,90,270
361,2023-11-10,Backpack,Accessories,3,40,120
362,2023-04-25,Office Desk,Furniture,7,250,1750
363,2023-08-20,Backpack,Accessories,9,40,360
364,2023-06-17,Laptop,Electronics,4,800,3200
365,2023-08-31,Wireless Mouse,Accessories,7,30,210
366,2023-12-28,Wireless Mouse,Accessories,2,30,60
367,2023-08-04,Desk Chair,Furniture,10,120,1200
368,2023-09-14,Monitor,Electronics,1,200,200
369,2023-09-21,Tablet,Electronics,4,300,1200
370,2023-05-02,Desk Chair,Furniture,8,120,960
371,2023-04-14,Smartphone,Electronics,2,600,1200
372,2023-03-23,Tablet,Electronics,3,300,900
373,2023-12-19,Desk Chair,Furniture,4,120,480
374,2023-07-25,Headphones,Accessories,8,50,400
375,2023-04-24,Wireless Mouse,Accessories,8,30,240
376,2023-05-25,Coffee Maker,Appliances,2,90,180
377,2023-05-24,Smartphone,Electronics,2,600,1200
378,2023-06-08,Tablet,Electronics,6,300,1800
379,2023-05-26,Office Desk,Furniture,2,250,500
380,2023-02-08,Monitor,Electronics,5,200,1000
381,2023-08-24,Laptop,Electronics,3,800,2400
382,2023-08-02,Smartphone,Electronics,6,600,3600
383,2023-08-02,Wireless Mouse,Accessories,6,30,180
384,2023-02-15,Office Desk,Furniture,6,250,1500
385,2023-10-20,Office Desk,Furniture,8,250,2000
386,2023-09-27,Coffee Maker,Appliances,7,90,630
387,2023-06-04,Tablet,Electronics,3,300,900
388,2023-02-08,Headphones,Accessories,5,50,250
389,2023-08-01,Smartphone,Electronics,8,600,4800
390,2023-04-08,Coffee Maker,Appliances,9,90,810
391,2023-02-14,Wireless Mouse,Accessories,2,30,60
392,2023-05-16,Headphones,Accessories,3,50,150
393,2023-02-01,Monitor,Electronics,10,200,2000
394,2023-04-16,Tablet,Electronics,8,300,2400
395,2023-04-26,Wireless Mouse,Accessories,8,30,240
396,2023-10-31,Office Desk,Furniture,10,250,2500
397,2023-06-02,Laptop,Electronics,1,800,800
398,2023-01-11,Headphones,Accessories,9,50,450
399,2023-04-19,Smartphone,Electronics,1,600,600
400,2023-04-19,Wireless Mouse,Accessories,3,30,90
401,2023-05-23,Wireless Mouse,Accessories,6,30,180
402,2023-10-11,Office Desk,Furniture,4,250,1000
403,2023-06-01,Wireless Mouse,Accessories,7,30,210
404,2023-06-19,Tablet,Electronics,6,300,1800
405,2023-01-29,Desk Chair,Furniture,2,120,240
406,2023-04-08,Laptop,Electronics,4,800,3200
407,2023-04-17,Backpack,Accessories,3,40,120
408,2023-08-21,Coffee Maker,Appliances,6,90,540
409,2023-08-20,Headphones,Accessories,1,50,50
410,2023-05-10,Backpack,Accessories,8,40,320
411,2023-12-26,Headphones,Accessories,7,50,350
412,2023-07-18,Wireless Mouse,Accessories,8,30,240
413,2023-05-14,Backpack,Accessories,4,40,160
414,2023-06-06,Backpack,Accessories,9,40,360
415,2023-09-26,Wireless Mouse,Accessories,2,30,60
416,2023-04-03,Office Desk,Furniture,2,250,500
417,2023-06-07,Headphones,Accessories,7,50,350
418,2023-09-07,Desk Chair,Furniture,7,120,840
419,2023-11-20,Wireless Mouse,Accessories,9,30,270
420,2023-12-30,Monitor,Electronics,5,200,1000
421,2023-07-28,Office Desk,Furniture,8,250,2000
422,2023-02-26,Laptop,Electronics,8,800,6400
423,2023-03-07,Backpack,Accessories,6,40,240
424,2023-04-10,Wireless Mouse,Accessories,8,30,240
425,2023-11-23,Monitor,Electronics,3,200,600
426,2023-05-22,Coffee Maker,Appliances,3,90,270
427,2023-02-14,Office Desk,Furniture,7,250,1750
428,2023-05-21,Headphones,Accessories,3,50,150
429,2023-05-21,Headphones,Accessories,1,50,50
430,2023-02-03,Smartphone,Electronics,3,600,1800
431,2023-02-17,Wireless Mouse,Accessories,8,30,240
432,2023-11-04,Headphones,Accessories,9,50,450
433,2023-10-04,Monitor,Electronics,5,200,1000
434,2023-01-14,Laptop,Electronics,9,800,7200
435,2023-06-03,Coffee Maker,Appliances,3,90,270
436,2023-07-08,Backpack,Accessories,5,40,200
437,2023-02-03,Office Desk,Furniture,8,250,2000
438,2023-05-08,Coffee Maker,Appliances,3,90,270
439,2023-05-15,Smartphone,Electronics,6,600,3600
440,2023-11-26,Headphones,Accessories,9,50,450
441,2023-06-18,Office Desk,Furniture,9,250,2250
442,2023-11-12,Coffee Maker,Appliances,1,90,90
443,2023-12-10,Coffee Maker,Appliances,4,90,360
444,2023-11-13,Coffee Maker,Appliances,9,90,810
445,2023-04-27,Coffee Maker,Appliances,4,90,360
446,2023-02-03,Laptop,Electronics,8,800,6400
447,2023-02-13,Smartphone,Electronics,6,600,3600
448,2023-09-15,Smartphone,Electronics,6,600,3600
449,2023-07-24,Wireless Mouse,Accessories,6,30,180
450,2023-05-29,Monitor,Electronics,7,200,1400
451,2023-11-29,Wireless Mouse,Accessories,4,30,120
452,2023-12-31,Laptop,Electronics,6,800,4800
453,2023-08-01,Desk Chair,Furniture,10,120,1200
454,2023-11-18,Headphones,Accessories,3,50,150
455,2023-06-17,Desk Chair,Furniture,8,120,960
456,2023-06-08,Monitor,Electronics,9,200,1800
457,2023-01-06,Office Desk,Furniture,9,250,2250
458,2023-02-26,Coffee Maker,Appliances,1,90,90
459,2023-04-24,Tablet,Electronics,6,300,1800
460,2023-09-05,Smartphone,Electronics,8,600,4800
461,2023-06-01,Desk Chair,Furniture,3,120,360
462,2023-07-10,Coffee Maker,Appliances,3,90,270
463,2023-10-15,Desk Chair,Furniture,10,120,1200
464,2023-05-23,Wireless Mouse,Accessories,2,30,60
465,2023-11-04,Tablet,Electronics,4,300,1200
466,2023-07-15,Smartphone,Electronics,8,600,4800
467,2023-02-06,Smartphone,Electronics,7,600,4200
468,2023-11-21,Office Desk,Furniture,5,250,1250
469,2023-03-02,Tablet,Electronics,5,300,1500
470,2023-04-19,Coffee Maker,Appliances,2,90,180
471,2023-08-25,Smartphone,Electronics,10,600,6000
472,2023-05-24,Laptop,Electronics,10,800,8000
473,2023-10-18,Wireless Mouse,Accessories,10,30,300
474,2023-06-22,Wireless Mouse,Accessories,3,30,90
475,2023-12-23,Laptop,Electronics,10,800,8000
476,2023-09-09,Backpack,Accessories,6,40,240
477,2023-09-19,Backpack,Accessories,3,40,120
478,2023-11-11,Smartphone,Electronics,6,600,3600
479,2023-06-18,Smartphone,Electronics,7,600,4200
480,2023-07-09,Wireless Mouse,Accessories,1,30,30
481,2023-03-16,Monitor,Electronics,9,200,1800
482,2023-03-23,Monitor,Electronics,9,200,1800
483,2023-10-25,Tablet,Electronics,9,300,2700
484,2023-12-21,Coffee Maker,Appliances,9,90,810
485,2023-11-10,Headphones,Accessories,1,50,50
486,2023-02-13,Laptop,Electronics,2,800,1600
487,2023-07-04,Wireless Mouse,Accessories,10,30,300
488,2023-04-12,Office Desk,Furniture,6,250,1500
489,2023-05-04,Coffee Maker,Appliances,4,90,360
490,2023-04-04,Coffee Maker,Appliances,10,90,900
491,2023-11-11,Desk Chair,Furniture,5,120,600
492,2023-07-25,Monitor,Electronics,1,200,200
493,2023-07-18,Monitor,Electronics,10,200,2000
494,2023-09-16,Backpack,Accessories,10,40,400
495,2023-03-16,Monitor,Electronics,4,200,800
496,2023-08-10,Wireless Mouse,Accessories,4,30,120
497,2023-08-14,Wireless Mouse,Accessories,9,30,270
498,2023-09-18,Backpack,Accessories,8,40,320
499,2023-09-30,Laptop,Electronics,5,800,4000
500,2023-06-18,Smartphone,Electronics,3,600,1800
501,2023-03-30,Coffee Maker,Appliances,5,90,450
502,2023-01-08,Smartphone,Electronics,8,600,4800
503,2023-10-27,Laptop,Electronics,3,800,2400
504,2023-09-16,Headphones,Accessories,10,50,500
505,2023-05-28,Monitor,Electronics,1,200,200
506,2023-08-05,Smartphone,Electronics,6,600,3600
507,2023-05-24,Wireless Mouse,Accessories,5,30,150
508,2023-09-03,Smartphone,Electronics,8,600,4800
509,2023-11-01,Smartphone,Electronics,7,600,4200
510,2023-03-09,Backpack,Accessories,3,40,120
511,2023-02-20,Desk Chair,Furniture,8,120,960
512,2023-07-07,Office Desk,Furniture,4,250,1000
513,2023-06-05,Monitor,Electronics,1,200,200
514,2023-06-04,Wireless Mouse,Accessories,2,30,60
515,2023-11-19,Coffee Maker,Appliances,9,90,810
516,2023-08-03,Coffee Maker,Appliances,7,90,630
517,2023-12-27,Desk Chair,Furniture,8,120,960
518,2023-04-10,Tablet,Electronics,8,300,2400
519,2023-01-23,Tablet,Electronics,6,300,1800
520,2023-08-25,Headphones,Accessories,10,50,500
521,2023-11-04,Backpack,Accessories,10,40,400
522,2023-11-09,Laptop,Electronics,6,800,4800
523,2023-03-18,Office Desk,Furniture,3,250,750
